,XRX
% Above Low,0.3093
% Held by Institutions,0.8144
52-Wk Range,['11.80 - 24.14']
Annual Dividend $,1.0
Annual Dividend %,0.0629
Ask,16.03
Ask Size,1100.0
B/A Ratio,0.7272727272727273
B/A Size,800x1100
Beta,1.7
Bid,15.3
Bid Size,800.0
Closing Price,15.45
Day Change $,-0.46
Day Change %,-0.028900000000000002
Day High,15.83
Day Low,15.35
Dividend Pay Date,2023-01-31 00:00:00
"EPS (TTM, GAAP)",-6.9
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.488
Last (size),2.0
Last (time),3:59p ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,15.91
Shares Outstanding,155.6M
Short Interest,0.057800000000000004
Today's Open,15.76
Volume,839431.0
Volume 10-day Avg,1084758.0
Volume Past Day,(Light)
