,XRX
Price/Earnings (TTM),
Price/Sales (TTM),0.35657
Price/Book (MRQ),0.76322
Price/Cash Flow (TTM),
5yr Low,11.8
5yr High,39.47
5yr Avg Return,-0.029066666666666664
EPS Growth 5yr,
Revenue Growth 5yr,-0.0815857
Dividend Growth 5yr,-0.0374065
Short Int Current Month,8394351.0
Short Int Prev Month,9126290.0
Short Int Pct of Float,0.0577783
Days to Cover,5.90359
Float,145.4632
Shares Outstanding,155.6026
Institutions Holding Shares,413.0
% Held by Institutions,0.814404
FCF Growth 5yr,-0.4986244800950684
