,XRX
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.7464788732394366
Growth 1yr High Est,-0.4915254237288136
Growth 1yr Consensus Est,-0.619002148484125
Growth 2yr Low Est,0.710093896713615
Growth 2yr High Est,1.6986817325800379
Growth 2yr Consensus Est,1.2043878146468265
Growth 5yr Low Est,0.5280407398855793
Growth 5yr High Est,1.1822380381702418
Growth 5yr Consensus Est,0.8551393890279105
Growth 5yr Actual/Est,0.18916787608815339
Growth 3yr Historic,-0.13297372889821196
