,TTGT
Price/Earnings (TTM),99.10896
Price/Sales (TTM),4.40365
Price/Book (MRQ),5.81452
Price/Cash Flow (TTM),33.68116
5yr Low,11.12
5yr High,111.44
5yr Avg Return,0.38946666666666674
EPS Growth 5yr,-0.1634814
Revenue Growth 5yr,0.1982853
Dividend Growth 5yr,
Short Int Current Month,2157816.0
Short Int Prev Month,2457333.0
Short Int Pct of Float,0.0813818
Days to Cover,5.71916
Float,26.54495
Shares Outstanding,29.32352
Institutions Holding Shares,294.0
% Held by Institutions,0.99894
FCF Growth 5yr,0.17454206018263752
