,TTGT
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.08181818181818179
Growth 1yr High Est,0.10714285714285698
Growth 1yr Consensus Est,0.09448051948051939
Growth 2yr Low Est,-0.02211611917494266
Growth 2yr High Est,0.069700460829493
Growth 2yr Consensus Est,0.023792170827275166
Growth 5yr Low Est,0.284106495262682
Growth 5yr High Est,0.31046697388632877
Growth 5yr Consensus Est,0.2972867345745054
Growth 5yr Actual/Est,0.47502248183142504
Growth 3yr Historic,0.4637195121951221
