,AAWW
Price/Earnings (TTM),8.13072
Price/Sales (TTM),0.63382
Price/Book (MRQ),0.97354
Price/Cash Flow (TTM),3.74893
5yr Low,14.97
5yr High,101.62
5yr Avg Return,0.1978833333333333
EPS Growth 5yr,0.569399
Revenue Growth 5yr,0.1698574
Dividend Growth 5yr,
Short Int Current Month,2816555.0
Short Int Prev Month,3176774.0
Short Int Pct of Float,0.1004904
Days to Cover,4.09814
Float,28.03751
Shares Outstanding,28.3642
Institutions Holding Shares,372.0
% Held by Institutions,1.094967
FCF Growth 5yr,-0.37403361344537817
