,AAWW
% Below High,0.009399999999999999
% Held by Institutions,1.095
52-Wk Range,['58.70 - 101.62']
Annual Dividend $,
Annual Dividend %,
Ask,101.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,100.66
Bid Size,200.0
Closing Price,100.66
Day Change $,-0.26
Day Change %,-0.0026
Day High,100.96
Day Low,100.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",12.38
Ex-dividend Date,No dividend
Historical Volatility,0.344
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",8.13
Prev Close,100.92
Shares Outstanding,28.4M
Short Interest,0.1005
Today's Open,100.84
Volume,79955.0
Volume 10-day Avg,381990.0
Volume Past Day,(Light)
