,LMAT
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.26984126984126977
Growth 1yr High Est,-0.16923076923076918
Growth 1yr Consensus Est,-0.21953601953601948
Growth 2yr Low Est,-0.04252933057280883
Growth 2yr High Est,0.017236467236467268
Growth 2yr Consensus Est,-0.012646431668170782
Growth 5yr Low Est,0.08668988016814105
Growth 5yr High Est,0.12378677294407633
Growth 5yr Consensus Est,0.1052383265561087
Growth 5yr Actual/Est,0.097831148018648
Growth 3yr Historic,0.09593531468531469
