,AKAM
% Above Low,0.2129
% Held by Institutions,0.9136
52-Wk Range,['76.28 - 123.25']
Annual Dividend $,
Annual Dividend %,
Ask,92.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,92.09
Bid Size,100.0
Closing Price,92.52
Day Change $,0.6
Day Change %,0.006500000000000001
Day High,92.64
Day Low,91.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.12
Ex-dividend Date,No dividend
Historical Volatility,0.298
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,14.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.65
Prev Close,91.92
Shares Outstanding,157.2M
Short Interest,0.0735
Today's Open,91.82
Volume,381456.0
Volume 10-day Avg,1305598.0
Volume Past Day,(Light)
