,VRNT
Price/Earnings (TTM),
Price/Sales (TTM),2.80892
Price/Book (MRQ),3.02329
Price/Cash Flow (TTM),42.18944
5yr Low,31.63
5yr High,77.7
5yr Avg Return,-0.0001333333333333364
EPS Growth 5yr,
Revenue Growth 5yr,-0.0381236
Dividend Growth 5yr,
Short Int Current Month,2897240.0
Short Int Prev Month,3217099.0
Short Int Pct of Float,0.0463126
Days to Cover,6.99414
Float,62.55831
Shares Outstanding,65.20751
Institutions Holding Shares,320.0
% Held by Institutions,1.016466
FCF Growth 5yr,0.15924699807728945
