,PRO
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.44999999999999973
Growth 1yr High Est,0.625
Growth 1yr Consensus Est,0.5374999999999999
Growth 2yr Low Est,0.31982758620689644
Growth 2yr High Est,0.08173076923076927
Growth 2yr Consensus Est,0.20077917771883286
Growth 5yr Low Est,0.15991379310344822
Growth 5yr High Est,0.04086538461538464
Growth 5yr Consensus Est,0.10038958885941643
Growth 5yr Actual/Est,0.14464701964701968
Growth 3yr Historic,0.2181318681318682
