,PRO
% Above Low,0.2416
% Held by Institutions,0.9538
52-Wk Range,['18.09 - 37.39']
Annual Dividend $,
Annual Dividend %,
Ask,22.51
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,1.1
Bid,22.41
Bid Size,400.0
Day Change $,-0.665
Day Change %,-0.0288
Day High,23.21
Day Low,22.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.97
Ex-dividend Date,No dividend
Historical Volatility,0.665
Last (size),8.0
Last (time),11:30a ET 11/28/22
Market Cap,1.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,23.12
Price,22.46
Shares Outstanding,45.3M
Short Interest,0.0692
Today's Open,22.84
Volume Past Day,(Light)
