,PRO
Price/Earnings (TTM),
Price/Sales (TTM),3.8784
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,18.09
5yr High,75.4
5yr Avg Return,0.04603333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.10404350000000001
Dividend Growth 5yr,
Short Int Current Month,2813689.0
Short Int Prev Month,2951861.0
Short Int Pct of Float,0.0691751
Days to Cover,8.48394
Float,40.67258
Shares Outstanding,45.32211
Institutions Holding Shares,194.0
% Held by Institutions,0.95383
FCF Growth 5yr,0.13123818973923407
