,INGN
% Above Low,0.1858
% Held by Institutions,0.9909
52-Wk Range,['19.48 - 36.30']
Annual Dividend $,
Annual Dividend %,
Ask,33.71
Ask Size,300.0
B/A Ratio,6.666666666666667
B/A Size,2000x300
Beta,0.9
Bid,19.54
Bid Size,2000.0
Closing Price,23.1
Day Change $,-0.2
Day Change %,-0.0086
Day High,23.38
Day Low,22.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.2
Ex-dividend Date,No dividend
Historical Volatility,0.489
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,530.6M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,23.3
Shares Outstanding,22.9M
Short Interest,0.036699999999999997
Today's Open,23.38
Volume,28540.0
Volume 10-day Avg,142206.0
Volume Past Day,(Light)
