,LZB
Price/Earnings (TTM),7.05496
Price/Sales (TTM),0.46832
Price/Book (MRQ),1.3659
Price/Cash Flow (TTM),5.51858
5yr Low,15.61
5yr High,46.74
5yr Avg Return,-0.00019999999999999573
EPS Growth 5yr,0.1440112
Revenue Growth 5yr,0.09167360000000001
Dividend Growth 5yr,0.0844718
Short Int Current Month,3277099.0
Short Int Prev Month,3278405.0
Short Int Pct of Float,0.0769261
Days to Cover,9.43376
Float,42.60576
Shares Outstanding,43.03619
Institutions Holding Shares,292.0
% Held by Institutions,0.979644
FCF Growth 5yr,0.8539570095836989
