,LZB
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.0847457627118644
Growth 1yr High Est,0.1266666666666667
Growth 1yr Consensus Est,0.10570621468926555
Growth 2yr Low Est,0.018935381355932146
Growth 2yr High Est,0.030788954635108556
Growth 2yr Consensus Est,0.02486216799552035
Growth 5yr Low Est,0.07420323951171919
Growth 5yr High Est,0.08559901092539775
Growth 5yr Consensus Est,0.07990112521855847
Growth 5yr Actual/Est,0.10163341419232291
Growth 3yr Historic,0.0999964659315804
