,LZB
% Above Low,0.20940000000000003
% Held by Institutions,0.9795999999999999
52-Wk Range,['21.92 - 38.16']
Annual Dividend $,0.66
Annual Dividend %,0.024900000000000002
Ask,41.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,16.5
Bid Size,100.0
Closing Price,26.51
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-09-15 00:00:00
"EPS (TTM, GAAP)",3.76
Ex-dividend,2022-09-06 00:00:00
Ex-dividend Date,09/06/22
Historical Volatility,0.43
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.05
Prev Close,26.51
Shares Outstanding,43.0M
Short Interest,0.07690000000000001
Today's Open,
Volume,94830.0
Volume 10-day Avg,289427.0
Volume Past Day,(Light)
