,CAL
Next Earnings Announcement,2023-03-14 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,1.1897435897435895
Growth 1yr High Est,0.8884120171673822
Growth 1yr Consensus Est,1.039077803455486
Growth 2yr Low Est,0.5808202726235513
Growth 2yr High Est,0.4896605540382365
Growth 2yr Consensus Est,0.5352404133308939
Growth 5yr Low Est,0.29041013631177565
Growth 5yr High Est,0.24483027701911825
Growth 5yr Consensus Est,0.26762020666544695
Growth 5yr Actual/Est,-1.4159729127685248
Growth 3yr Historic,-1.4327380952380953
