,CAL
Price/Earnings (TTM),5.19761
Price/Sales (TTM),0.30311
Price/Book (MRQ),2.2449
Price/Cash Flow (TTM),5.17985
5yr Low,3.12
5yr High,41.09
5yr Avg Return,-0.0050499999999999955
EPS Growth 5yr,0.18628329999999999
Revenue Growth 5yr,0.014917499999999998
Dividend Growth 5yr,0.0
Short Int Current Month,2038049.0
Short Int Prev Month,2170882.0
Short Int Pct of Float,0.058702199999999996
Days to Cover,5.24312
Float,34.97284
Shares Outstanding,36.46418
Institutions Holding Shares,281.0
% Held by Institutions,0.890335
FCF Growth 5yr,-0.6668456747844309
