,CAL
% Below High,0.212
% Held by Institutions,0.8903
52-Wk Range,['17.82 - 31.13']
Annual Dividend $,0.28
Annual Dividend %,0.011399999999999999
Ask,25.2
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.7
Bid,12.0
Bid Size,100.0
Closing Price,24.53
Day Change $,-0.3
Day Change %,-0.0121
Day High,25.24
Day Low,24.45
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",4.72
Ex-dividend,2022-09-08 00:00:00
Ex-dividend Date,09/08/22
Historical Volatility,0.6020000000000001
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,895.6M
"P/E Ratio (TTM, GAAP)",5.2
Prev Close,24.83
Shares Outstanding,36.5M
Short Interest,0.0587
Today's Open,24.83
Volume,575498.0
Volume 10-day Avg,604271.0
Volume Past Day,(Average)
