,VMEO
% Above Low,0.1814
% Held by Institutions,0.8925
52-Wk Range,['3.34 - 20.20']
Annual Dividend $,
Annual Dividend %,
Ask,3.94
Ask Size,15600.0
B/A Ratio,0.01282051282051282
B/A Size,200x15600
Beta,
Bid,3.85
Bid Size,200.0
Closing Price,3.94
Day Change $,-0.19
Day Change %,-0.046
Day High,4.17
Day Low,3.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.61
Ex-dividend Date,No dividend
Historical Volatility,0.7240000000000001
Last (size),100.0
Last (time),4:00p ET 11/28/22
Market Cap,692.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.13
Shares Outstanding,175.8M
Short Interest,0.0373
Today's Open,4.04
Volume,1429438.0
Volume 10-day Avg,1893630.0
Volume Past Day,(Light)
