,VMEO
Price/Earnings (TTM),
Price/Sales (TTM),1.58543
Price/Book (MRQ),1.98169
Price/Cash Flow (TTM),
5yr Low,3.34
5yr High,58.0
5yr Avg Return,-0.7281
Short Int Current Month,5575536.0
Short Int Prev Month,7846798.0
Short Int Pct of Float,0.037292900000000004
Days to Cover,1.70533
Float,149.5223
Shares Outstanding,166.4444
Institutions Holding Shares,319.0
% Held by Institutions,0.8924989999999999
FCF Growth 5yr,-0.7165634163043212
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
