,TILE
% Above Low,0.1955
% Held by Institutions,0.9490999999999999
52-Wk Range,['8.90 - 16.61']
Annual Dividend $,0.04
Annual Dividend %,0.0036
Ask,11.07
Ask Size,100.0
Ask close,13.18
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,10.62
Bid Size,200.0
Bid close,8.31
Change Since Close,0.00| |(0.00%)
Closing Price,10.64
Day Change $,-0.41
Day Change %,-0.0371
Day High,10.98
Day Low,10.55
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",1.1
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.456
Last (size),4300.0
Last (time),4:00p ET 11/28/22
Last Trade,10.64
Market Cap,618.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.0
Prev Close,11.05
Shares Outstanding,58.2M
Short Interest,0.0118
Today's Open,10.98
Volume,127538.0
Volume 10-day Avg,145732.0
Volume Past Day,(Below Average)
