,TILE
Price/Earnings (TTM),10.00498
Price/Sales (TTM),0.49368
Price/Book (MRQ),2.00667
Price/Cash Flow (TTM),5.98945
5yr Low,5.06
5yr High,26.25
5yr Avg Return,-0.07794999999999999
EPS Growth 5yr,0.024092199999999998
Revenue Growth 5yr,0.046010499999999996
Dividend Growth 5yr,-0.2889053
Short Int Current Month,670055.0
Short Int Prev Month,790605.0
Short Int Pct of Float,0.0118116
Days to Cover,3.05619
Float,56.5536
Shares Outstanding,58.1698
Institutions Holding Shares,239.0
% Held by Institutions,0.949063
FCF Growth 5yr,-0.827956136911158
