,FFWM
% Above Low,0.0198
% Held by Institutions,0.6919
52-Wk Range,['13.61 - 28.01']
Annual Dividend $,0.44
Annual Dividend %,0.0317
Ask,16.74
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,8.52
Bid Size,100.0
Closing Price,13.88
Day Change $,0.16
Day Change %,0.011699999999999999
Day High,14.02
Day Low,13.72
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",2.16
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.337
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,782.7M
"P/E Ratio (TTM, GAAP)",6.43
Prev Close,13.72
Shares Outstanding,56.4M
Short Interest,0.0143
Today's Open,13.8
Volume,347367.0
Volume 10-day Avg,367308.0
Volume Past Day,(Average)
