,RPD
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-2.7777777777777777
Growth 1yr High Est,-7.666666666666667
Growth 1yr Consensus Est,-5.222222222222222
Growth 2yr Low Est,-1.1076388888888888
Growth 2yr High Est,-2.2833333333333337
Growth 2yr Consensus Est,-1.6954861111111112
Growth 5yr Low Est,-1.8663194444444446
Growth 5yr High Est,-1.9479166666666665
Growth 5yr Consensus Est,-1.9071180555555556
Growth 5yr Actual/Est,-1.344444444444444
Growth 3yr Historic,-0.6527777777777778
