,RPD
Price/Earnings (TTM),
Price/Sales (TTM),2.5393
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,18.27
5yr High,145.0
5yr Avg Return,0.2681
EPS Growth 5yr,
Revenue Growth 5yr,0.2773648
Dividend Growth 5yr,
Short Int Current Month,4738391.0
Short Int Prev Month,4903930.0
Short Int Pct of Float,0.0813478
Days to Cover,2.34493
Float,58.30488
Shares Outstanding,59.23592
Institutions Holding Shares,404.0
% Held by Institutions,0.995204
FCF Growth 5yr,0.846054156352646
