,RPD
% Above Low,0.047
% Held by Institutions,0.9952
52-Wk Range,['26.49 - 129.09']
Annual Dividend $,
Annual Dividend %,
Ask,27.77
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,27.72
Bid Size,200.0
Day Change $,-0.23
Day Change %,-0.008199999999999999
Day High,28.15
Day Low,27.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.73
Ex-dividend Date,No dividend
Historical Volatility,0.621
Last (size),8.0
Last (time),1:14p ET 11/28/22
Market Cap,1.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,27.96
Price,27.73
Shares Outstanding,59.2M
Short Interest,0.08130000000000001
Today's Open,27.53
Volume Past Day,(Light)
