,LNT
Price/Earnings (TTM),21.28293
Price/Sales (TTM),3.47906
Price/Book (MRQ),2.2618
Price/Cash Flow (TTM),10.65428
5yr Low,36.84
5yr High,65.37
5yr Avg Return,0.04941666666666667
EPS Growth 5yr,0.0981504
Revenue Growth 5yr,0.020192
Dividend Growth 5yr,0.06501960000000001
Short Int Current Month,3170553.0
Short Int Prev Month,3155151.0
Short Int Pct of Float,0.0126498
Days to Cover,1.67324
Float,250.653
Shares Outstanding,251.022
Institutions Holding Shares,847.0
% Held by Institutions,0.7715139999999999
FCF Growth 5yr,1.04367993754879
