,LNT
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.0620155038759691
Growth 1yr High Est,0.05639097744360888
Growth 1yr Consensus Est,0.05920324065978899
Growth 2yr Low Est,0.049255927120466225
Growth 2yr High Est,0.05132716131966919
Growth 2yr Consensus Est,0.05029154422006771
Growth 5yr Low Est,0.055386697184687306
Growth 5yr High Est,0.05993728176594437
Growth 5yr Consensus Est,0.05766198947531584
Growth 5yr Actual/Est,0.056371501720806294
Growth 3yr Historic,0.031305745421148334
