,ARCH
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,3.8249763481551557
Growth 1yr High Est,3.403765690376569
Growth 1yr Consensus Est,3.6143710192658625
Growth 2yr Low Est,1.7420960172148328
Growth 2yr High Est,1.5536643178723701
Growth 2yr Consensus Est,1.6478801675436014
Growth 5yr Low Est,0.8710480086074164
Growth 5yr High Est,0.7768321589361851
Growth 5yr Consensus Est,0.8239400837718007
Growth 5yr Actual/Est,-0.9145447022143085
Growth 3yr Historic,-1.2592775875186755
