,ARCH
% Below High,0.14529999999999998
% Held by Institutions,0.9218000000000001
52-Wk Range,['73.54 - 183.53']
Annual Dividend $,1.0
Annual Dividend %,0.0064
Ask,159.0
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,0.7
Bid,154.0
Bid Size,200.0
Closing Price,156.87
Day Change $,1.13
Day Change %,0.0073
Day High,158.92
Day Low,155.0
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",52.36
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.642
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.0
Prev Close,155.74
Shares Outstanding,18.1M
Short Interest,0.16449999999999998
Today's Open,155.0
Volume,218492.0
Volume 10-day Avg,359988.0
Volume Past Day,(Light)
