,DICE
% Below High,0.292
% Held by Institutions,0.82
52-Wk Range,['12.64 - 45.99']
Annual Dividend $,
Annual Dividend %,
Ask,42.77
Ask Size,1400.0
B/A Ratio,0.14285714285714285
B/A Size,200x1400
Beta,
Bid,32.0
Bid Size,200.0
Closing Price,32.56
Day Change $,-0.91
Day Change %,-0.027200000000000002
Day High,33.85
Day Low,32.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.05
Ex-dividend Date,No dividend
Historical Volatility,0.91
Last (size),13.0
Last (time),12:59p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,33.47
Shares Outstanding,47.7M
Short Interest,0.09570000000000001
Today's Open,33.54
Volume,93424.0
Volume 10-day Avg,320120.0
Volume Past Day,(Light)
