,DICE
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),4.76119
Price/Cash Flow (TTM),
5yr Low,12.64
5yr High,45.99
5yr Avg Return,0.0603
Short Int Current Month,4345666.0
Short Int Prev Month,4360191.0
Short Int Pct of Float,0.0957024
Days to Cover,9.82898
Float,46.09555
Shares Outstanding,47.67118
Institutions Holding Shares,120.0
% Held by Institutions,0.820025
FCF Growth 5yr,0.35958725595506613
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
