,SKLZ
% Above Low,0.08800000000000001
% Held by Institutions,0.4324
52-Wk Range,['0.8311 - 10.17']
Annual Dividend $,
Annual Dividend %,
Ask,0.9059
Ask Size,7000.0
B/A Ratio,0.17142857142857143
B/A Size,1200x7000
Beta,
Bid,0.9025
Bid Size,1200.0
Day Change $,-0.0604
Day Change %,-0.0626
Day High,0.9648
Day Low,0.9012
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.95
Ex-dividend Date,No dividend
Historical Volatility,1.081
Last (size),100.0
Last (time),2:27p ET 11/28/22
Market Cap,379.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,0.9646
Price,0.9042
Shares Outstanding,420.3M
Short Interest,0.1282
Today's Open,0.95
Volume Past Day,(Light)
