,SKLZ
Price/Earnings (TTM),
Price/Sales (TTM),1.20706
Price/Book (MRQ),0.93715
Price/Cash Flow (TTM),
5yr Low,0.8311
5yr High,46.3
5yr Avg Return,-0.16566666666666663
Short Int Current Month,36079554.0
Short Int Prev Month,38731207.0
Short Int Pct of Float,0.12824159999999998
Days to Cover,3.16829
Float,291.052
Shares Outstanding,420.303
Institutions Holding Shares,245.0
% Held by Institutions,0.432387
FCF Growth 5yr,0.12201903525161513
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
