,FIZZ
Price/Earnings (TTM),34.17667
Price/Sales (TTM),4.1734
Price/Book (MRQ),17.75139
Price/Cash Flow (TTM),29.94882
5yr Low,17.86
5yr High,98.22
5yr Avg Return,0.034450000000000015
EPS Growth 5yr,0.08154360000000001
Revenue Growth 5yr,0.0659503
Dividend Growth 5yr,
Short Int Current Month,1364624.0
Short Int Prev Month,1443567.0
Short Int Pct of Float,0.0581886
Days to Cover,9.90042
Float,23.45172
Shares Outstanding,93.33825
Institutions Holding Shares,245.0
% Held by Institutions,0.237576
FCF Growth 5yr,-0.10321447427155346
