,FIZZ
% Below High,0.1124
% Held by Institutions,0.2376
52-Wk Range,['38.10 - 57.65']
Annual Dividend $,
Annual Dividend %,
Ask,57.96
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,20.53
Bid Size,200.0
Closing Price,51.17
Day Change $,-0.31
Day Change %,-0.006
Day High,51.73
Day Low,51.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.5
Ex-dividend Date,No dividend
Historical Volatility,0.371
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.18
Prev Close,51.48
Shares Outstanding,93.3M
Short Interest,0.0582
Today's Open,51.46
Volume,49663.0
Volume 10-day Avg,132240.0
Volume Past Day,(Light)
