,DCGO
Price/Earnings (TTM),13.82819
Price/Sales (TTM),1.0655
Price/Book (MRQ),2.62297
Price/Cash Flow (TTM),22.46633
5yr Low,4.96
5yr High,11.86
5yr Avg Return,-0.12343333333333334
Short Int Current Month,4365143.0
Short Int Prev Month,4927582.0
Short Int Pct of Float,0.0514336
Days to Cover,4.68702
Float,85.28495
Shares Outstanding,102.8267
Institutions Holding Shares,154.0
% Held by Institutions,0.381122
FCF Growth 5yr,-0.13891615882814232
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
