,DCGO
% Above Low,0.3589
% Held by Institutions,0.3811
52-Wk Range,['4.96 - 11.41']
Annual Dividend $,
Annual Dividend %,
Ask,6.85
Ask Size,2400.0
B/A Ratio,0.041666666666666664
B/A Size,100x2400
Beta,
Bid,6.6
Bid Size,100.0
Closing Price,6.74
Day Change $,-0.03
Day Change %,-0.0044
Day High,6.88
Day Low,6.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.49
Ex-dividend Date,No dividend
Historical Volatility,0.677
Last (size),38.0
Last (time),1:00p ET 11/25/22
Market Cap,694.1M
"P/E Ratio (TTM, GAAP)",13.83
Prev Close,6.77
Shares Outstanding,102.8M
Short Interest,0.051399999999999994
Today's Open,6.71
Volume,190493.0
Volume 10-day Avg,875881.0
Volume Past Day,(Light)
