,PRIM
Price/Earnings (TTM),9.60986
Price/Sales (TTM),0.28827
Price/Book (MRQ),1.07315
Price/Cash Flow (TTM),5.27926
5yr Low,9.42
5yr High,41.76
5yr Avg Return,-0.026299999999999994
EPS Growth 5yr,0.3344022
Revenue Growth 5yr,0.1186171
Dividend Growth 5yr,0.0175546
Short Int Current Month,723187.0
Short Int Prev Month,1032735.0
Short Int Pct of Float,0.0138292
Days to Cover,2.24125
Float,52.30188
Shares Outstanding,53.11111
Institutions Holding Shares,248.0
% Held by Institutions,0.90821
FCF Growth 5yr,1.5512336605754864
