,PRIM
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.11848341232227488
Growth 1yr High Est,-0.11439114391143912
Growth 1yr Consensus Est,0.002046134205417882
Growth 2yr Low Est,-0.021266768415133752
Growth 2yr High Est,0.10322109471094709
Growth 2yr Consensus Est,0.04097716314790667
Growth 5yr Low Est,0.06905411579243309
Growth 5yr High Est,0.2172547191346147
Growth 5yr Consensus Est,0.1431544174635239
Growth 5yr Actual/Est,0.1223093043513182
Growth 3yr Historic,0.08656113411548194
