,PH
Price/Earnings (TTM),31.83415
Price/Sales (TTM),2.40614
Price/Book (MRQ),4.48455
Price/Cash Flow (TTM),21.43085
5yr Low,93.0
5yr High,340.0
5yr Avg Return,0.10771666666666668
EPS Growth 5yr,0.0682627
Revenue Growth 5yr,0.056869300000000005
Dividend Growth 5yr,0.1136802
Short Int Current Month,1446589.0
Short Int Prev Month,1405187.0
Short Int Pct of Float,0.0113242
Days to Cover,1.32813
Float,127.781
Shares Outstanding,128.4057
Institutions Holding Shares,1273.0
% Held by Institutions,0.8276690000000001
FCF Growth 5yr,0.1020627775762607
