,PH
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.0331125827814569
Growth 1yr High Est,0.061479869423286315
Growth 1yr Consensus Est,0.04729622610237161
Growth 2yr Low Est,-0.008283452199015107
Growth 2yr High Est,0.11249288191820384
Growth 2yr Consensus Est,0.052104714859594364
Growth 5yr Low Est,0.12011093055020072
Growth 5yr High Est,0.1468647431482911
Growth 5yr Consensus Est,0.1334878368492459
Growth 5yr Actual/Est,0.1861732665824794
Growth 3yr Historic,0.15964101906808909
