,CRS
Price/Earnings (TTM),
Price/Sales (TTM),1.0062
Price/Book (MRQ),1.51807
Price/Cash Flow (TTM),22.04244
5yr Low,13.6
5yr High,61.49
5yr Avg Return,0.024933333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.0042691000000000005
Dividend Growth 5yr,0.0212957
Short Int Current Month,1489942.0
Short Int Prev Month,1604508.0
Short Int Pct of Float,0.0315092
Days to Cover,5.69386
Float,47.29776
Shares Outstanding,48.44493
Institutions Holding Shares,257.0
% Held by Institutions,0.92325
FCF Growth 5yr,-0.150875062950502
