,CRS
% Below High,0.0892
% Held by Institutions,0.9233
52-Wk Range,['24.76 - 44.96']
Annual Dividend $,0.8
Annual Dividend %,0.0195
Ask,41.41
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,40.95
Day Change $,-0.14
Day Change %,-0.0034000000000000002
Day High,41.49
Day Low,40.95
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",-0.85
Ex-dividend,2022-10-24 00:00:00
Ex-dividend Date,10/24/22
Historical Volatility,0.52
Last (size),43.0
Last (time),5:00p ET 11/25/22
Market Cap,2.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,41.09
Shares Outstanding,48.4M
Short Interest,0.0315
Today's Open,41.12
Volume,57356.0
Volume 10-day Avg,188726.0
Volume Past Day,(Light)
