,LIVN
% Above Low,0.2834
% Held by Institutions,1.0459
52-Wk Range,['41.82 - 89.69']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
Ask close,66.15
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Bid close,41.37
Change Since Close,-1.62| |(-3.02%)
Closing Price,53.67
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.81
Ex-dividend Date,No dividend
Historical Volatility,0.429
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,52.05
Market Cap,2.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,53.67
Shares Outstanding,53.5M
Short Interest,0.0352
Today's Open,
Volume,1.0
Volume 10-day Avg,554399.0
Volume Past Day,(Light)
