,LIVN
Price/Earnings (TTM),
Price/Sales (TTM),2.82456
Price/Book (MRQ),2.5045
Price/Cash Flow (TTM),
5yr Low,33.4
5yr High,131.54
5yr Avg Return,-0.052000000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.0142056
Dividend Growth 5yr,
Short Int Current Month,1876509.0
Short Int Prev Month,1926867.0
Short Int Pct of Float,0.0352016
Days to Cover,3.43937
Float,53.30745
Shares Outstanding,53.5227
Institutions Holding Shares,306.0
% Held by Institutions,1.045864
FCF Growth 5yr,1.8189247282264354
