,ECL
Price/Earnings (TTM),37.95069
Price/Sales (TTM),3.0563
Price/Book (MRQ),6.00642
Price/Cash Flow (TTM),20.56976
5yr Low,124.6
5yr High,238.93
5yr Avg Return,0.04294999999999999
EPS Growth 5yr,-0.011557
Revenue Growth 5yr,-0.0064499
Dividend Growth 5yr,0.0652085
Short Int Current Month,2385235.0
Short Int Prev Month,2892072.0
Short Int Pct of Float,0.0084189
Days to Cover,1.14643
Float,283.4503
Shares Outstanding,284.8281
Institutions Holding Shares,1650.0
% Held by Institutions,0.871509
FCF Growth 5yr,2.5808060673176954
