,ECL
% Above Low,0.13670000000000002
% Held by Institutions,0.8715
52-Wk Range,['131.04 - 237.38']
Annual Dividend $,2.04
Annual Dividend %,0.0137
Ask,166.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,138.81
Bid Size,100.0
Closing Price,148.95
Day Change $,-1.11
Day Change %,-0.0074
Day High,150.1
Day Low,148.69
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",3.92
Ex-dividend,2022-09-19 00:00:00
Ex-dividend Date,09/19/22
Historical Volatility,0.34600000000000003
Last (size),124.0
Last (time),5:00p ET 11/25/22
Market Cap,42.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",37.95
Prev Close,150.06
Shares Outstanding,284.8M
Short Interest,0.0084
Today's Open,149.7
Volume,553353.0
Volume 10-day Avg,1315567.0
Volume Past Day,(Light)
