,CHDN
Price/Earnings (TTM),17.98677
Price/Sales (TTM),4.9367
Price/Book (MRQ),13.65189
Price/Cash Flow (TTM),14.31914
5yr Low,52.9
5yr High,262.2
5yr Avg Return,0.23129999999999998
EPS Growth 5yr,0.26909669999999997
Revenue Growth 5yr,0.1419714
Dividend Growth 5yr,0.08676249999999999
Short Int Current Month,597136.0
Short Int Prev Month,679369.0
Short Int Pct of Float,0.0181996
Days to Cover,3.11956
Float,32.81031
Shares Outstanding,37.40327
Institutions Holding Shares,424.0
% Held by Institutions,0.738267
FCF Growth 5yr,0.2102540308061482
