,SI
Price/Earnings (TTM),7.55756
Price/Sales (TTM),3.31479
Price/Book (MRQ),0.69294
Price/Cash Flow (TTM),7.50752
5yr Low,7.6
5yr High,239.26
5yr Avg Return,1.000175
EPS Growth 5yr,0.5057922
Revenue Growth 5yr,0.2570604
Dividend Growth 5yr,
Short Int Current Month,5643210.0
Short Int Prev Month,3193760.0
Short Int Pct of Float,0.2198172
Days to Cover,1.26214
Float,25.71018
Shares Outstanding,31.6586
Institutions Holding Shares,364.0
% Held by Institutions,0.779359
FCF Growth 5yr,-1.3728037847303902
