,SI
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.1254355400696865
Growth 1yr High Est,0.4917491749174916
Growth 1yr Consensus Est,0.18315681742390255
Growth 2yr Low Est,-0.014909005094604133
Growth 2yr High Est,0.44941441046759545
Growth 2yr Consensus Est,0.21725270268649566
Growth 5yr Low Est,0.41310624511624927
Growth 5yr High Est,0.5573995129261053
Growth 5yr Consensus Est,0.4852528790211773
Growth 5yr Actual/Est,0.4477806857957507
Growth 3yr Historic,0.33317208462332304
