,LXRX
Price/Earnings (TTM),
Price/Sales (TTM),3215.887
Price/Book (MRQ),2.79122
Price/Cash Flow (TTM),
5yr Low,1.03
5yr High,13.97
5yr Avg Return,-0.20404999999999998
EPS Growth 5yr,
Revenue Growth 5yr,-0.6726314999999999
Dividend Growth 5yr,
Short Int Current Month,3855870.0
Short Int Prev Month,4258450.0
Short Int Pct of Float,0.0206454
Days to Cover,8.92922
Float,186.8382
Shares Outstanding,188.7257
Institutions Holding Shares,137.0
% Held by Institutions,0.8198009999999999
FCF Growth 5yr,0.23713503104517786
