,LXRX
% Above Low,0.626
% Held by Institutions,0.8198000000000001
52-Wk Range,['1.31 - 5.03']
Annual Dividend $,
Annual Dividend %,
Ask,2.6
Ask Size,600.0
B/A Ratio,1.6666666666666667
B/A Size,1000x600
Beta,1.4
Bid,1.31
Bid Size,1000.0
Closing Price,2.13
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.63
Ex-dividend Date,No dividend
Historical Volatility,0.9159999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,402.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.13
Shares Outstanding,188.7M
Short Interest,0.0206
Today's Open,
Volume,77557.0
Volume 10-day Avg,375193.0
Volume Past Day,(Light)
