,LXRX
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.032258064516129115
Growth 1yr High Est,-0.033333333333333326
Growth 1yr Consensus Est,-0.03279569892473122
Growth 2yr Low Est,0.10053763440860214
Growth 2yr High Est,-0.06839080459770108
Growth 2yr Consensus Est,0.016073414905450528
Growth 5yr Low Est,0.10053763440860214
Growth 5yr High Est,-0.06839080459770108
Growth 5yr Consensus Est,0.016073414905450528
Growth 5yr Actual/Est,-0.3311346485375797
Growth 3yr Historic,-0.3312052700065062
