,NI
% Above Low,0.1476
% Held by Institutions,0.9185
52-Wk Range,['23.78 - 32.59']
Annual Dividend $,0.94
Annual Dividend %,0.0344
Ask,31.12
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.4
Bid,26.84
Bid Size,200.0
Closing Price,27.29
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",1.54
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.253
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,11.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.73
Prev Close,27.29
Shares Outstanding,406.1M
Short Interest,0.0346
Today's Open,
Volume,923800.0
Volume 10-day Avg,4053342.0
Volume Past Day,(Light)
