,NI
Price/Earnings (TTM),17.72723
Price/Sales (TTM),1.99536
Price/Book (MRQ),1.96216
Price/Cash Flow (TTM),7.58358
5yr Low,19.56
5yr High,32.59
5yr Avg Return,0.008483333333333332
EPS Growth 5yr,0.044413400000000006
Revenue Growth 5yr,0.0175002
Dividend Growth 5yr,0.0657628
Short Int Current Month,13978633.0
Short Int Prev Month,11290411.0
Short Int Pct of Float,0.0345503
Days to Cover,2.30209
Float,404.5943
Shares Outstanding,406.1343
Institutions Holding Shares,770.0
% Held by Institutions,0.9185479999999999
FCF Growth 5yr,18.782546108861897
