,TWNK
% Below High,0.09970000000000001
% Held by Institutions,1.0611
52-Wk Range,['16.76 - 29.00']
Annual Dividend $,
Annual Dividend %,
Ask,26.77
Ask Size,800.0
B/A Ratio,34.5
B/A Size,27600x800
Beta,0.6
Bid,25.45
Bid Size,27600.0
Closing Price,26.11
Day Change $,0.05
Day Change %,0.0019
Day High,26.42
Day Low,25.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.21
Ex-dividend Date,No dividend
Historical Volatility,0.28
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",21.5
Prev Close,26.06
Shares Outstanding,133.9M
Short Interest,0.0294
Today's Open,26.01
Volume,832551.0
Volume 10-day Avg,996617.0
Volume Past Day,(Below Average)
