,TWNK
Price/Earnings (TTM),21.50325
Price/Sales (TTM),2.65146
Price/Book (MRQ),1.95101
Price/Cash Flow (TTM),15.43107
5yr Low,9.33
5yr High,29.0
5yr Avg Return,0.13863333333333336
EPS Growth 5yr,0.0983738
Revenue Growth 5yr,0.0943572
Dividend Growth 5yr,
Short Int Current Month,3909713.0
Short Int Prev Month,4451599.0
Short Int Pct of Float,0.0293806
Days to Cover,3.23125
Float,133.0751
Shares Outstanding,133.8867
Institutions Holding Shares,359.0
% Held by Institutions,1.061075
FCF Growth 5yr,2.018238111531702
