,CF
Price/Earnings (TTM),7.13023
Price/Sales (TTM),1.91672
Price/Book (MRQ),4.83328
Price/Cash Flow (TTM),4.55636
5yr Low,19.73
5yr High,119.6
5yr Avg Return,0.24290000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.1215057
Dividend Growth 5yr,0.0
Short Int Current Month,5040088.0
Short Int Prev Month,5035021.0
Short Int Pct of Float,0.0257904
Days to Cover,1.65877
Float,195.3472
Shares Outstanding,196.1895
Institutions Holding Shares,1066.0
% Held by Institutions,0.93926
FCF Growth 5yr,0.18486645185588946
