,CF
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,6.788659793814433
Growth 1yr High Est,6.728813559322034
Growth 1yr Consensus Est,6.758736676568233
Growth 2yr Low Est,3.0673940928039736
Growth 2yr High Est,3.358376077906631
Growth 2yr Consensus Est,3.2128850853553024
Growth 5yr Low Est,1.5336970464019868
Growth 5yr High Est,1.6791880389533156
Growth 5yr Consensus Est,1.6064425426776512
Growth 5yr Actual/Est,1.0622530862189914
Growth 3yr Historic,0.38017934446505874
