,CF
% Below High,0.09179999999999999
% Held by Institutions,0.9393
52-Wk Range,['57.25 - 119.60']
Annual Dividend $,1.6
Annual Dividend %,0.0147
Ask,109.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,102.22
Bid Size,100.0
Closing Price,108.62
Day Change $,2.31
Day Change %,0.0217
Day High,109.78
Day Low,106.18
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",15.23
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.501
Last (size),44.0
Last (time),5:00p ET 11/25/22
Market Cap,21.3B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",7.13
Prev Close,106.31
Shares Outstanding,196.2M
Short Interest,0.0258
Today's Open,106.35
Volume,1044411.0
Volume 10-day Avg,2471965.0
Volume Past Day,(Light)
