,SITE
Price/Earnings (TTM),20.64765
Price/Sales (TTM),1.41666
Price/Book (MRQ),4.20504
Price/Cash Flow (TTM),15.0136
5yr Low,45.32
5yr High,260.0
5yr Avg Return,0.19699999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.1609312
Dividend Growth 5yr,
Short Int Current Month,2844349.0
Short Int Prev Month,2893063.0
Short Int Pct of Float,0.064036
Days to Cover,6.92895
Float,44.41794
Shares Outstanding,45.10283
Institutions Holding Shares,433.0
% Held by Institutions,1.0325490000000002
FCF Growth 5yr,-1.6981655400856839
